dataset,model,fraction,n_train_samples,accuracy,macro_f1,roc_auc,pr_auc,f1,rmse,mae,r2,best_optuna_params
adult_income,saint,1.0,39073,,,0.9091,0.7795,0.6783,,,,"d_model=64,n_heads=8,n_layers=3,dropout=0.1,lr=0.0001"
adult_income,saint,0.5,19536,,,0.9073,0.7753,0.6749,,,,"d_model=64,n_heads=8,n_layers=3,dropout=0.1,lr=0.0001"
adult_income,saint,0.1,3907,,,0.8948,0.7422,0.6577,,,,"d_model=64,n_heads=8,n_layers=3,dropout=0.1,lr=0.0001"
adult_income,saint,0.08,3125,,,0.891,0.7359,0.6539,,,,"d_model=64,n_heads=8,n_layers=3,dropout=0.1,lr=0.0001"
adult_income,saint,0.06,2344,,,0.8919,0.7383,0.658,,,,"d_model=64,n_heads=8,n_layers=3,dropout=0.1,lr=0.0001"
adult_income,saint,0.04,1562,,,0.8893,0.7308,0.6529,,,,"d_model=64,n_heads=8,n_layers=3,dropout=0.1,lr=0.0001"
adult_income,saint,0.02,781,,,0.8731,0.6827,0.6392,,,,"d_model=64,n_heads=8,n_layers=3,dropout=0.1,lr=0.0001"
adult_income,saint,0.01,390,,,0.8596,0.6691,0.611,,,,"d_model=64,n_heads=8,n_layers=3,dropout=0.1,lr=0.0001"
