dataset,model,fraction,n_train_samples,accuracy,macro_f1,roc_auc,pr_auc,f1,rmse,mae,r2,best_optuna_params
california_housing,realtabpfn,1.0,16512,,,,,,0.3905,0.2357,0.8836,TabPFN default — no hyperparameters
california_housing,realtabpfn,0.5,8256,,,,,,0.4088,0.2475,0.8725,TabPFN default — no hyperparameters
california_housing,realtabpfn,0.1,1651,,,,,,0.4632,0.2935,0.8363,TabPFN default — no hyperparameters
california_housing,realtabpfn,0.08,1320,,,,,,0.4829,0.3087,0.822,TabPFN default — no hyperparameters
california_housing,realtabpfn,0.06,990,,,,,,0.4922,0.3178,0.8151,TabPFN default — no hyperparameters
california_housing,realtabpfn,0.04,660,,,,,,0.5153,0.3342,0.7974,TabPFN default — no hyperparameters
california_housing,realtabpfn,0.02,330,,,,,,0.5634,0.3774,0.7578,TabPFN default — no hyperparameters
california_housing,realtabpfn,0.01,165,,,,,,0.6091,0.4146,0.7168,TabPFN default — no hyperparameters
